"","category","name","price","ratings","no_of_reviews"
"1","Notebook","Notes London Eco A5 Notebook with Lined Pages, Pen Loop, Ribbon, Date Marks and Paper Pocket, Medium Hardback Journal, Note, sustainably sourced paper (Green)","£6.98","4.6 out of 5 stars","3,358"
"2","Notebook","The Notebook","£3.49","4.6 out of 5 stars","1,432"
"3","Notebook","Summit Jotter, A5 Metallic Notebook, Wirebound, Lined, 200 Page, Pack of 3, Green","£7.16","4.6 out of 5 stars","4,310"
"4","Notebook","RETTACY A5 Notebook, Notepad, Wirebound Spiral Notebooks 300Pages /150 Sheets for Writing,100gsm College-Ruled Paper, PVC Hardcover, for Women Men Work Office School,14.5 x 21cm - Pink","£2.39","4.7 out of 5 stars","452"
"5","Notebook","Notebook","£7.99","4.8 out of 5 stars","34"
"6","Notebook","A5 Notebook, PU Leather Journal Notepad for Office School Home Business Writing & Note Taking 200 Pages (100 Sheets)-Blue","£9.99","4.5 out of 5 stars","1,211"
"7","Notebook","Oinvs A5 Spiral Notebooks Bound(160Pages) Waterproof Notepad Cute Exercise Lined,Hardcover,Easy to Carry,4pcs-Leaf","£6.99","4.8 out of 5 stars","31"
"8","Notebook","Pukka Pad, A4 Metallic Jotta Book 3 Pack – 21 x 30cm – Wirebound Notebook with 8mm Lines and 80GSM Paper – Features 4-Hole Punch Margins and Perforated Edges - 200 Pages, Green","£10.99","4.7 out of 5 stars","25,219"
"9","Notebook","A5 Notebook, 2 Pack Notebook A5 200 Pages 100 GSM Journal Notebook Hardback Notepad with Bookmark, Pen Loop, and Elastic Closure (Black+Black)","£9.59","4.6 out of 5 stars","328"
"10","Notebook","Artfan Notebook - A5 Notebook with Premium Paper, 144 Pages, Notebook A5 Journal, Faux Leather Classic Hardcover with Lovely Stamping, Black","£3.20","4.8 out of 5 stars","46"
"11","Notebook","A5 Notebook - Artfan Notebook A5 Twin-Wire Binding, Elastic Closure, Premium Lined Pages, 21 cm × 16 cm, Pink and Gold","£18.78","4.5 out of 5 stars","24"
"12","Notebook","RETTACY Lined Journal Notebook - A5 Note Book Hardcover Thick Notepad 320 Numbered Pages for Writing,100gsm Lined Paper, Leather Hardcover, for Women Men Work Office School,14.5 x 21cm - Green","£9.34","4.7 out of 5 stars","1,708"
"13","Notebook","The Notebooks","£10.99","4.6 out of 5 stars","2,633"
"14","Notebook","Matilda Myres Notebook - A5 Lined - Pink & Rose Gold","£8.59","4.6 out of 5 stars","2,898"
"15","Notebook","A5 Ruled Notebook Journal - Hardcover Executive Notebooks with Premium Thick Paper, College Lined Journal, 8.3""×5.7"",360 Page, Perfect for Office Home School Business Writing & Note Taking（Black）","£6.99","4.7 out of 5 stars","7,644"
"16","Notebook","Pukka Pad, A5 Metallic Jotta Book 3-Pack for Home, School, and Office – 15 x 21cm – Wirebound Notebook with 8mm Lines and 80GSM Paper – Features Perforated Edges - 200 Pages, Green","£12.99","4.7 out of 5 stars","275"
"17","Notebook","EMSHOI A5 Notebook Lined 300 Pages/150 Sheets, Wirebound Spiral Notepad Multi-Coloured, 100gsm Thick Paper, Waterproof Hardcover, Writing Journal for Women Men Work Office School, 14.5 x 21cm, Pink","£3.49","4.5 out of 5 stars","424"
"18","Notebook","Summit A5+ Ruled with Margin, 160 pages, 3 Pack","£7.98","4.7 out of 5 stars","258"
"19","Notebook","Notebook A5, Journal A5 Notebook Notepad Note Book, 360 Pages Hardcover Journal Notebooks with Pen Loop for Office School Home Business Writing & Note Taking, Gray","£8.45","4.4 out of 5 stars","685"
"20","Notebook","Bstorify A5 Notebook And Pen Set - Journal Notepad 160 Lined Pages (14.85 x 21 cm) Black Notebook A5 with Hardback Cover, Pen Loop, Expandable Pocket - Ideal for Notetaking and Writing (A5, Black)","£8.49","4.4 out of 5 stars","386"
"21","Notebook","Silvine Luxpad 120 Page A5 FSC Wirebound Notebook with Durable Pressboard Covers [Single], PRA5","£9.99","4.9 out of 5 stars","23"
"22","Notebook","Artfan A5 Notebook - Notebook Journal with Hard Cover, 6"" X 8.3"", Premium Paper, Back Pocket, Elastic Closure, College Ruled Journal","£8.39","4.7 out of 5 stars","675"
"23","Notebook","Pukka Pad B5 Project Book with 10 Repositionable Dividers for Organization – 400 Perforated Pages of 80GSM Paper – 200 Sheet Notebook for School, Office, and Home – White, 190 x 250mm","£2.80","4.4 out of 5 stars","420"
"24","Notebook","Nu Notebooks - Craze Cloud Range - A5 Journal - Journal Supplies - Stationery Notebooks - Ruled Notepad - Black - 160 Pages","£13.26","4.5 out of 5 stars","56,180"
"25","Notebook","Amazon Basics Classic Black Casebound Notebook with Elastic Closure, Blank / Plain, 240 pages, Large 13.4 x 1.7 x 21 cm","£9.99","4.5 out of 5 stars","186"
"26","Notebook","Prisoners of War Season 2","£8.58","4.6 out of 5 stars","91"
"27","Notebook","Notebook A4-3 Pack Lined A4 Notebook with Premium Paper, Wirebound, Easily Tear Off, College Ruled Journal","£2.86","4.4 out of 5 stars","227"
"28","Notebook","To Do List Notebook, A5 Weekly Planner Undated, Planning Pad Checklist Productivity Organizer 52 Pages for Students, Work, Fitness(Pink)","£8.99","4.7 out of 5 stars","2,310"
"29","Notebook","Oxford Botanics Twin Pack, A5 Hard Cover Wirebound Notebook, Ruled with Margin, 140 Pages, Scribzee Enabled","£6.99","4.7 out of 5 stars","612"
"30","Notebook","sexeeg Ruled Journal Notebook, B5 3D Butterfly Embossed Hardcover Writing Journal with Elastic Closure Band, 192 Pages Lined Paper for School, Office, Home, 9"" X 6.9"" (Sky Blue)","£3.99","4.7 out of 5 stars","3,675"
"31","Notebook","RETTACY Notebook A5 Lined Hardback 2 Pack - Thick Journal with 376 Numbered Paper,2 Free Sticky Notes Divider,100gsm Paper,8 Perforated Sheets, Pen Loop, Inner Pocket, 14.5 x 21cm (Black Green)","£6.99","4.5 out of 5 stars","132"
"32","Notebook","Silvine A5 Marlene West Hardback Notebook - Lined (140 Pages)","£7.39","4.5 out of 5 stars","215"
"33","Notebook","To Do List Notebook, 4.5"" x 6.3"" Daily Planner Notepad with 4 Sheet Stickers Undated 50 Sheets Tear Off To Do List Pad Checklist for Work and Personal Organize Hourly Schedule","£11.74","4.7 out of 5 stars","4,333"
"34","Notebook","Oxford Campus A4 Notebook, Wirebound, Pastel Assorted Colours, Pack of 3","£3.99","4.7 out of 5 stars","9,419"
"35","Notebook","Notebook","£6.64","4.5 out of 5 stars","3,406"
"36","Notebook","Oxford My Notes, A4 Notebook Hardcover, Twin Pack Of Oxford Floral And Bloom, 140 Pages","£1.89","4.6 out of 5 stars","3,391"
"37","Notebook","(2-Pack) Pocket Notebook 9x14cm, Small Hardcover Journal with Pen Holder, Inner Pockets, 100gsm Thick Ruled/Lined Paper, Black","£8.59","4.8 out of 5 stars","33"
"38","Notebook","Silvine A4 Notebooks Assorted Pastel Colours (Pack of 10)","£6.99","4.5 out of 5 stars","1,436"
"39","Notebook","Notebook: Cute Kawaii Cats College Ruled Lined Pages (Composition Book, Journal) (8.5 x 11 Large) (100 Pages)","£7.28","4.8 out of 5 stars","591"
"40","Notebook","Nu Notebooks - Kraft Range - Black Stitched Spine A5 Notebook - Stationery Notebooks - Professional Notepad - 80 Pages","£6.15","4.5 out of 5 stars","1,689"
"41","Notebook","A5 Notebook Travel Journal by Avocado and Spice® A5 Notepad with Gift Box & Velvet Bag - Hardback Daily Planner - A5 Lined Notebook with Bookmark, Elastic Strap, Pen Holder, 200 Pages (Blue, Lined)","£3.08","4.9 out of 5 stars","91"
"42","Notebook","Cambridge Notebook, Classic Ruled, 192 Lined Pages, Teal Journal","£6.64","4.6 out of 5 stars","839"
"43","Notebook","RETTACY Thick Lined Journal Notebook, A5 Hardcover Leather Journal With 320 Numbered Pages for Writing,100gsm Lined Paper, for Women Men Work Office School,14.5 x 21cm - Dark Green","£9.99","4.7 out of 5 stars","19,158"
"44","Notebook","4 Packs Spiral Notepad A5 Kraft Cover Notebooks Bulk Journals, Lined Paper 100 Pages/ 50 Sheets Memo Planner Pads Perfect for Travel School - 8.25 x 5.55 inch","£13.99","4.7 out of 5 stars","38"
"45","Notebook","Cambridge Jotter, A5 Notebook, Wirebound, Lined, 200 Page, Pack of 3, green","£7.00","4.5 out of 5 stars","7,468"
"46","Notebook","Notes London Eco A5 Notebook with Lined Pages, Pen Loop, Ribbon, Date Marks and Paper Pocket, Medium Hardback Journal, Note, sustainably sourced paper (Green)","£6.98","4.6 out of 5 stars","3,358"
"47","Notebook","The Notebook","£3.49","4.6 out of 5 stars","1,432"
"48","Notebook","Summit Jotter, A5 Metallic Notebook, Wirebound, Lined, 200 Page, Pack of 3, Green","£7.16","4.6 out of 5 stars","4,310"
"49","Notebook","RETTACY A5 Notebook, Notepad, Wirebound Spiral Notebooks 300Pages /150 Sheets for Writing,100gsm College-Ruled Paper, PVC Hardcover, for Women Men Work Office School,14.5 x 21cm - Pink","£2.39","4.7 out of 5 stars","452"
"50","Notebook","Notebook","£7.99","4.8 out of 5 stars","34"
"51","Notebook","A5 Notebook, PU Leather Journal Notepad for Office School Home Business Writing & Note Taking 200 Pages (100 Sheets)-Blue","£9.99","4.5 out of 5 stars","1,211"
"52","Notebook","Oinvs A5 Spiral Notebooks Bound(160Pages) Waterproof Notepad Cute Exercise Lined,Hardcover,Easy to Carry,4pcs-Leaf","£6.99","4.8 out of 5 stars","31"
"53","Notebook","Pukka Pad, A4 Metallic Jotta Book 3 Pack – 21 x 30cm – Wirebound Notebook with 8mm Lines and 80GSM Paper – Features 4-Hole Punch Margins and Perforated Edges - 200 Pages, Green","£10.99","4.7 out of 5 stars","25,219"
"54","Notebook","A5 Notebook, 2 Pack Notebook A5 200 Pages 100 GSM Journal Notebook Hardback Notepad with Bookmark, Pen Loop, and Elastic Closure (Black+Black)","£9.59","4.6 out of 5 stars","328"
"55","Notebook","Artfan Notebook - A5 Notebook with Premium Paper, 144 Pages, Notebook A5 Journal, Faux Leather Classic Hardcover with Lovely Stamping, Black","£3.20","4.8 out of 5 stars","46"
"56","Notebook","A5 Notebook - Artfan Notebook A5 Twin-Wire Binding, Elastic Closure, Premium Lined Pages, 21 cm × 16 cm, Pink and Gold","£18.78","4.5 out of 5 stars","24"
"57","Notebook","RETTACY Lined Journal Notebook - A5 Note Book Hardcover Thick Notepad 320 Numbered Pages for Writing,100gsm Lined Paper, Leather Hardcover, for Women Men Work Office School,14.5 x 21cm - Green","£9.34","4.7 out of 5 stars","1,708"
"58","Notebook","The Notebooks","£10.99","4.6 out of 5 stars","2,633"
"59","Notebook","Matilda Myres Notebook - A5 Lined - Pink & Rose Gold","£8.59","4.6 out of 5 stars","2,898"
"60","Notebook","A5 Ruled Notebook Journal - Hardcover Executive Notebooks with Premium Thick Paper, College Lined Journal, 8.3""×5.7"",360 Page, Perfect for Office Home School Business Writing & Note Taking（Black）","£6.99","4.7 out of 5 stars","7,644"
"61","Notebook","Pukka Pad, A5 Metallic Jotta Book 3-Pack for Home, School, and Office – 15 x 21cm – Wirebound Notebook with 8mm Lines and 80GSM Paper – Features Perforated Edges - 200 Pages, Green","£12.99","4.7 out of 5 stars","275"
"62","Notebook","EMSHOI A5 Notebook Lined 300 Pages/150 Sheets, Wirebound Spiral Notepad Multi-Coloured, 100gsm Thick Paper, Waterproof Hardcover, Writing Journal for Women Men Work Office School, 14.5 x 21cm, Pink","£3.49","4.5 out of 5 stars","424"
"63","Notebook","Summit A5+ Ruled with Margin, 160 pages, 3 Pack","£7.98","4.7 out of 5 stars","258"
"64","Notebook","Notebook A5, Journal A5 Notebook Notepad Note Book, 360 Pages Hardcover Journal Notebooks with Pen Loop for Office School Home Business Writing & Note Taking, Gray","£8.45","4.4 out of 5 stars","685"
"65","Notebook","Bstorify A5 Notebook And Pen Set - Journal Notepad 160 Lined Pages (14.85 x 21 cm) Black Notebook A5 with Hardback Cover, Pen Loop, Expandable Pocket - Ideal for Notetaking and Writing (A5, Black)","£8.49","4.4 out of 5 stars","386"
"66","Notebook","Silvine Luxpad 120 Page A5 FSC Wirebound Notebook with Durable Pressboard Covers [Single], PRA5","£9.99","4.9 out of 5 stars","23"
"67","Notebook","Artfan A5 Notebook - Notebook Journal with Hard Cover, 6"" X 8.3"", Premium Paper, Back Pocket, Elastic Closure, College Ruled Journal","£8.39","4.7 out of 5 stars","675"
"68","Notebook","Pukka Pad B5 Project Book with 10 Repositionable Dividers for Organization – 400 Perforated Pages of 80GSM Paper – 200 Sheet Notebook for School, Office, and Home – White, 190 x 250mm","£2.80","4.4 out of 5 stars","420"
"69","Notebook","Nu Notebooks - Craze Cloud Range - A5 Journal - Journal Supplies - Stationery Notebooks - Ruled Notepad - Black - 160 Pages","£13.26","4.5 out of 5 stars","56,180"
"70","Notebook","Amazon Basics Classic Black Casebound Notebook with Elastic Closure, Blank / Plain, 240 pages, Large 13.4 x 1.7 x 21 cm","£9.99","4.5 out of 5 stars","186"
"71","Notebook","Prisoners of War Season 2","£8.58","4.6 out of 5 stars","91"
