"","title","author","subject","abstract","date"
"1","learn to code sustainably: an empirical study on llm-based green code generation","tina vartziotis, ippolyti dellatolas, george dasoulas, maximilian schmidt, florian schneider, tim hoffmann, sotirios kotsopoulos, michael keckeisen","software engineering","the increasing use of information technology has led to a significant share of energy consumption and carbon emissions from data centers. these contributions are expected to rise with the growing demand for big data analytics, increasing digitization, and the development of large artificial intelligence (ai) models. the need to address the environmental impact of software development has led to increased interest in green (sustainable) coding and claims that the use of ai models can lead to energy efficiency gains. here, we provide an empirical study on green code and an overview of green coding practices, as well as metrics used to quantify the sustainability awareness of ai models. in this framework, we evaluate the sustainability of auto-generated code. the auto-generate codes considered in this study are produced by generative commercial ai language models, github copilot, openai chatgpt-3, and amazon codewhisperer. within our methodology, in order to quantify the sustainability awareness of these ai models, we propose a definition of the code's ""green capacity"", based on certain sustainability metrics. we compare the performance and green capacity of human-generated code and code generated by the three ai language models in response to easy-to-hard problem statements. our findings shed light on the current capacity of ai models to contribute to sustainable software development.",2024-03-05
"2","alloyinecore: embedding of first-order relational logic into meta-object facility for automated model reasoning","ferhat erata, arda goknil, ivan kurtev, bedir tekinerdogan","software engineering","we present alloyinecore, a tool for specifying metamodels with their static semantics to facilitate automated, formal reasoning on models. software development projects require that software systems be specified in various models (e.g., requirements models, architecture models, test models, and source code). it is crucial to reason about those models to ensure the correct and complete system specifications. alloyinecore allows the user to specify metamodels with their static semantics, while, using the semantics, it automatically detects inconsistent models, and completes partial models. it has been evaluated on three industrial case studies in the automotive domain (this https url).",2024-03-05
"3","can llms generate architectural design decisions? -an exploratory empirical study","rudra dhar, karthik vaidhyanathan, vasudeva varma","software engineering","architectural knowledge management (akm) involves the organized handling of information related to architectural decisions and design within a project or organization. an essential artifact of akm is the architecture decision records (adr), which documents key design decisions. adrs are documents that capture decision context, decision made and various aspects related to a design decision, thereby promoting transparency, collaboration, and understanding. despite their benefits, adr adoption in software development has been slow due to challenges like time constraints and inconsistent uptake. recent advancements in large language models (llms) may help bridge this adoption gap by facilitating adr generation. however, the effectiveness of llm for adr generation or understanding is something that has not been explored. to this end, in this work, we perform an exploratory study that aims to investigate the feasibility of using llm for the generation of adrs given the decision context. in our exploratory study, we utilize gpt and t5-based models with 0-shot, few-shot, and fine-tuning approaches to generate the decision of an adr given its context. our results indicate that in a 0-shot setting, state-of-the-art models such as gpt-4 generate relevant and accurate design decisions, although they fall short of human-level performance. additionally, we observe that more cost-effective models like gpt-3.5 can achieve similar outcomes in a few-shot setting, and smaller models such as flan-t5 can yield comparable results after fine-tuning. to conclude, this exploratory study suggests that llm can generate design decisions, but further research is required to attain human-level generation and establish standardized widespread adoption.",2024-03-04
"4","a systematic evaluation of large language models for generating programming code","wenpin hou, zhicheng ji","software engineering","we systematically evaluated the performance of seven large language models in generating programming code using various prompt strategies, programming languages, and task difficulties. gpt-4 substantially outperforms other large language models, including gemini ultra and claude 2. the coding performance of gpt-4 varies considerably with different prompt strategies. in most leetcode and geeksforgeeks coding contests evaluated in this study, gpt-4 employing the optimal prompt strategy outperforms 85 percent of human participants. additionally, gpt-4 demonstrates strong capabilities in translating code between different programming languages and in learning from past errors. the computational efficiency of the code generated by gpt-4 is comparable to that of human programmers. these results suggest that gpt-4 has the potential to serve as a reliable assistant in programming code generation and software development.",2024-03-01
"5","reusable mlops: reusable deployment, reusable infrastructure and hot-swappable machine learning models and services","d panchal, p verma, i baran, d musgrove, d lu","software engineering","although machine learning model building has become increasingly accessible due to a plethora of tools, libraries and algorithms being available freely, easy operationalization of these models is still a problem. it requires considerable expertise in data engineering, software development, cloud and devops. it also requires planning, agreement, and vision of how the model is going to be used by the business applications once it is in production, how it is going to be continuously trained on fresh incoming data, and how and when a newer model would replace an existing model. this leads to developers and data scientists working in silos and making suboptimal decisions. it also leads to wasted time and effort. we introduce the acumos ai platform we developed and we demonstrate some unique novel capabilities that the acumos model runner possesses, that can help solve the above problems. we introduce a new sustainable concept in the field of ai/ml operations - called reusable mlops - where we reuse the existing deployment and infrastructure to serve new models by hot-swapping them without tearing down the infrastructure or the microservice, thus achieving reusable deployment and operations for ai/ml models while still having continuously trained models in production.",2024-02-19
"6","are your comments outdated? towards automatically detecting code-comment consistency","yuan huang, yinan chen, xiangping chen, xiaocong zhou","software engineering","in software development and maintenance, code comments can help developers understand source code, and improve communication among developers. however, developers sometimes neglect to update the corresponding comment when changing the code, resulting in outdated comments (i.e., inconsistent codes and comments). outdated comments are dangerous and harmful and may mislead subsequent developers. more seriously, the outdated comments may lead to a fatal flaw sometime in the future. to automatically identify the outdated comments in source code, we proposed a learning-based method, called cocc, to detect the consistency between code and comment. to efficiently identify outdated comments, we extract multiple features from both codes and comments before and after they change. besides, we also consider the relation between code and comment in our model. experiment results show that cocc can effectively detect outdated comments with precision over 90%. in addition, we have identified the 15 most important factors that cause outdated comments, and verified the applicability of cocc in different programming languages. we also used cocc to find outdated comments in the latest commits of open source projects, which further proves the effectiveness of the proposed method.",2024-03-01
"7","a naive approach for automatic line-level code completion","shamima naznin, dr.manishankar mondal","software engineering","coding is an integral aspect of programming. a programmer can automatically complete a code fragment after writing a few tokens, and the process of automatic completion is known as code completion. several research studies on code completion have previously been conducted for method body completion and method parameter completion. however, this fundamental study explores the automatic completion of any program statement that might not even be part of a method.
the goal is to provide suggestions to the programmer for completing code throughout the codebase by identifying and analyzing code similarities. the proposed methodology can be regarded as a fundamental framework for automated code completion. from the investigation of hundreds of revisions of four subject systems written in c and java, it is observed that the proposed method can automatically complete around 22% of code statements with an average accuracy of 87% that a programmer writes during development, accelerating software development time. the empirical analysis further demonstrates that the approach can be used with programming language neutrality.
the study concludes by illustrating that taking 10 characters as prefixes before invoking completion provides maximum precision.",2024-02-29
"8","devphish: exploring social engineering in software supply chain attacks on developers","hossein siadati, sima jafarikhah, elif sahin, terrence brent hernandez, elijah lorenzo tripp, denis khryashchev","software engineering","the software supply chain (ssc) has captured considerable attention from attackers seeking to infiltrate systems and undermine organizations. there is evidence indicating that adversaries utilize social engineering (soce) techniques specifically aimed at software developers. that is, they interact with developers at critical steps in the software development life cycle (sdlc), such as accessing github repositories, incorporating code dependencies, and obtaining approval for pull requests (pr) to introduce malicious code. this paper aims to comprehensively explore the existing and emerging soce tactics employed by adversaries to trick software engineers (swes) into delivering malicious software. by analyzing a diverse range of resources, which encompass established academic literature and real-world incidents, the paper systematically presents an overview of these manipulative strategies within the realm of the ssc. such insights prove highly beneficial for threat modeling and security gap analysis.",2024-02-28
"9","low-modeling of software systems","jordi cabot","software engineering","there is a growing need for better development methods and tools to keep up with the increasing complexity of new software systems. new types of user interfaces, the need for intelligent components, sustainability concerns, ... bring new challenges that we need to handle. in the last years, model-driven engineering has been key to improving the quality and productivity of software development, but models themselves are becoming increasingly complex to specify and manage. in this paper, we present the concept of low-modeling as a solution to enhance current model-driven engineering techniques and get them ready for this new generation of software systems.",2024-02-28
"10","autonomous vehicles: evolution of artificial intelligence and learning algorithms","divya garikapati, sneha sudhir shetiya","machine learning","the advent of autonomous vehicles has heralded a transformative era in transportation, reshaping the landscape of mobility through cutting-edge technologies. central to this evolution is the integration of artificial intelligence (ai) and learning algorithms, propelling vehicles into realms of unprecedented autonomy. this paper provides a comprehensive exploration of the evolutionary trajectory of ai within autonomous vehicles, tracing the journey from foundational principles to the most recent advancements. commencing with a current landscape overview, the paper delves into the fundamental role of ai in shaping the autonomous decision-making capabilities of vehicles. it elucidates the steps involved in the ai-powered development life cycle in vehicles, addressing ethical considerations and bias in ai-driven software development for autonomous vehicles. the study presents statistical insights into the usage and types of ai/learning algorithms over the years, showcasing the evolving research landscape within the automotive industry. furthermore, the paper highlights the pivotal role of parameters in refining algorithms for both trucks and cars, facilitating vehicles to adapt, learn, and improve performance over time. it concludes by outlining different levels of autonomy, elucidating the nuanced usage of ai and learning algorithms, and automating key tasks at each level. additionally, the document discusses the variation in software package sizes across different autonomy levels",2024-02-27
"11","chronicles of ci/cd: a deep dive into its usage over time","hugo da gião, andré flores, rui pereira, jácome cunha","software engineering","devops is a combination of methodologies and tools that improves the software development, build, deployment, and monitoring processes by shortening its lifecycle and improving software quality. part of this process is ci/cd, which embodies mostly the first parts, right up to the deployment. despite the many benefits of devops and ci/cd, it still presents many challenges promoted by the tremendous proliferation of different tools, languages, and syntaxes, which makes the field quite challenging to learn and keep up to date. software repositories contain data regarding various software practices, tools, and uses. this data can help gather multiple insights that inform technical and academic decision-making. github is currently the most popular software hosting platform and provides a search api that lets users query its repositories. our goal with this paper is to gain insights into the technologies developers use for ci/cd by analyzing github repositories. using a list of the state-of-the-art ci/cd technologies, we use the github search api to find repositories using each of these technologies. we also use the api to extract various insights regarding those repositories. we then organize and analyze the data collected. from our analysis, we provide an overview of the use of ci/cd technologies in our days, but also what happened in the last 12 years. we also show developers use several technologies simultaneously in the same project and that the change between technologies is quite common. from these insights, we find several research paths, from how to support the use of multiple technologies, both in terms of techniques, but also in terms of human-computer interaction, to aiding developers in evolving their ci/cd pipelines, again considering the various dimensions of the problem.",2024-02-27
"12","leveraging power of deep learning for fast and efficient elite pixel selection in time series sar interferometry","ashutosh tiwari, nitheshnirmal sadhashivam, leonard o. ohenhen, manoochehr shirzaei","signal processing","this work proposes an improved convolutional long short-term memory (convlstm) based architecture for selection of elite pixels (i.e., less noisy) in time series interferometric synthetic aperture radar (ts-insar). compared to previous version, the model can process insar stacks of variable time steps and select both persistent (ps) and distributed scatterers (ds). we trained the model on ~20,000 training images (interferograms), each of size 100 by 100 pixels, extracted from insar time series interferograms containing both artificial features (buildings and infrastructure) and objects of natural environment (vegetation, forests, barren or agricultural land, water bodies). based on such categorization, we developed two deep learning models, primarily focusing on urban and coastal sites. training labels were generated from elite pixel selection outputs generated from the wavelet-based insar (wabinsar) software developed by shirzaei (2013) and improved in lee and shirzaei (2023). with 4 urban and 7 coastal sites used for training and validation, the predicted elite pixel selection maps reveal that the proposed models efficiently learn from wabinsar-generated labels, reaching a validation accuracy of 94%. the models accurately discard pixels affected by geometric and temporal decorrelation while selecting pixels corresponding to urban objects and those with stable phase history unaffected by temporal and geometric decorrelation. the density of pixels in urban areas is comparable to and higher for coastal areas compared to wabinsar outputs. with significantly reduced time computation (order of minutes) and improved selection of elite pixels, the proposed models can efficiently process long insar time series stacks and generate rapid deformation maps.",2024-02-26
"13","rethinking software engineering in the foundation model era: a curated catalogue of challenges in the development of trustworthy fmware","ahmed e. hassan, dayi lin, gopi krishnan rajbahadur, keheliya gallaba, filipe r. cogo, boyuan chen, haoxiang zhang, kishanthan thangarajah, gustavo ansaldi oliva, jiahuei lin, wali mohammad abdullah, zhen ming jiang","software engineering","foundation models (fms), such as large language models (llms), have revolutionized software development by enabling new use cases and business models. we refer to software built using fms as fmware. the unique properties of fmware (e.g., prompts, agents, and the need for orchestration), coupled with the intrinsic limitations of fms (e.g., hallucination) lead to a completely new set of software engineering challenges. based on our industrial experience, we identified 10 key se4fmware challenges that have caused enterprise fmware development to be unproductive, costly, and risky. in this paper, we discuss these challenges in detail and state the path for innovation that we envision. next, we present fmarts, which is our long-term effort towards creating a cradle-to-grave platform for the engineering of trustworthy fmware. finally, we (i) show how the unique properties of fmarts enabled us to design and develop a complex fmware for a large customer in a timely manner and (ii) discuss the lessons that we learned in doing so. we hope that the disclosure of the aforementioned challenges and our associated efforts to tackle them will not only raise awareness but also promote deeper and further discussions, knowledge sharing, and innovative solutions across the software engineering discipline.",2024-02-25
"14","chain-of-specificity: an iteratively refining method for eliciting knowledge from large language models","kaiwen wei, jingyuan zhang, hongzhi zhang, fuzheng zhang, di zhang, li jin, yue yu","artificial intelligence","large language models (llms) exhibit remarkable generative capabilities, enabling the generation of valuable information. despite these advancements, previous research found that llms sometimes struggle with adhering to specific constraints (e.g., in specific place or at specific time), at times even overlooking them, which leads to responses that are either too generic or not fully satisfactory. existing approaches attempted to address this issue by decomposing or rewriting input instructions, yet they fall short in adequately emphasizing specific constraints and in unlocking the underlying knowledge (e.g., programming within the context of software development). in response, this paper proposes a simple yet effective method named chain-of-specificity (cos). specifically, cos iteratively emphasizes the specific constraints in the input instructions, unlocks knowledge within llms, and refines responses. experiments conducted on publicly available and self-build complex datasets demonstrate that cos outperforms existing methods in enhancing generated content especially for the specificity. besides, as the number of specific constraints increase, other baselines falter, while cos still performs well. moreover, we show that distilling responses generated by cos effectively enhances the ability of smaller models to follow the constrained instructions. resources of this paper will be released for further research.",2024-02-20
"15","studying llm performance on closed- and open-source data","toufique ahmed, christian bird, premkumar devanbu, saikat chakraborty","software engineering","large language models (llms) are finding wide use in software engineering practice. these models are extremely data-hungry, and are largely trained on open-source (oss) code distributed with permissive licenses. in terms of actual use however, a great deal of software development still occurs in the for-profit/proprietary sphere, where the code under development is not, and never has been, in the public domain; thus, many developers, do their work, and use llms, in settings where the models may not be as familiar with the code under development. in such settings, do llms work as well as they do for oss code? if not, what are the differences? when performance differs, what are the possible causes, and are there work-arounds? in this paper, we examine this issue using proprietary, closed-source software data from microsoft, where most proprietary code is in c# and c++. we find that performance for c# changes little from oss --> proprietary code, but does significantly reduce for c++; we find that this difference is attributable to differences in identifiers. we also find that some performance degradation, in some cases, can be ameliorated efficiently by in-context learning.",2024-02-23
"16","llm-compdroid: repairing configuration compatibility bugs in android apps with pre-trained large language models","zhijie liu, yutian tang, meiyun li, xin jin, yunfei long, liang feng zhang, xiapu luo","software engineering","xml configurations are integral to the android development framework, particularly in the realm of ui display. however, these configurations can introduce compatibility issues (bugs), resulting in divergent visual outcomes and system crashes across various android api versions (levels). in this study, we systematically investigate llm-based approaches for detecting and repairing configuration compatibility bugs. our findings highlight certain limitations of llms in effectively identifying and resolving these bugs, while also revealing their potential in addressing complex, hard-to-repair issues that traditional tools struggle with. leveraging these insights, we introduce the llm-compdroid framework, which combines the strengths of llms and traditional tools for bug resolution. our experimental results demonstrate a significant enhancement in bug resolution performance by llm-compdroid, with llm-compdroid-gpt-3.5 and llm-compdroid-gpt-4 surpassing the state-of-the-art tool, conffix, by at least 9.8% and 10.4% in both correct and correct@k metrics, respectively. this innovative approach holds promise for advancing the reliability and robustness of android applications, making a valuable contribution to the field of software development.",2024-02-23
"17","agile requirement change management model for global software development","neha koulecar, bachan ghimire","software engineering","we propose a noble, comprehensive and robust agile requirements change management (arcm) model that addresses the limitations of existing models and is tailored for agile software development in the global software development paradigm. to achieve this goal, we conducted an exhaustive literature review and an empirical study with rcm industry experts. our study evaluated the effectiveness of the proposed rcm model in a real-world setting and identifies any limitations or areas for improvement. the results of our study provide valuable insights into how the proposed rcm model can be applied in agile global software development environments to improve software development practices and optimize project success rates.",2024-02-22
"18","bugfix: towards a common language and framework for the automaticprogram repair community","bertrand meyer, viktoryia kananchuk, li huang","software engineering","techniques of automatic program repair (apr) have the potential of thoroughly facilitating the task of producing quality software. after a promising start, however, progress in making apr practical has been hindered by the lack of a common framework to support the multiplicity of apr ideas and tools, and of target programming languages and environments.
in this position paper we outline a general framework to enable the apr community to benefit from each otherś advances, in particular through a standard language for describing bugs and their fixes. such a common framework (which is also applicable to work on fault seeding) could be a tremendous benefit to researchers and developers of interactive development environments (ides) who are working to make apr an effective part of the practical experience of software developers.",2024-02-22
"19","copilot evaluation harness: evaluating llm-guided software programming","anisha agarwal, aaron chan, shubham chandel, jinu jang, shaun miller, roshanak zilouchian moghaddam, yevhen mohylevskyy, neel sundaresan, michele tufano","software engineering","the integration of large language models (llms) into development environments (ides) has become a focal point in modern software development. llms such as openai gpt-3.5/4 and code llama offer the potential to significantly augment developer productivity by serving as intelligent, chat-driven programming assistants. however, utilizing llms out of the box is unlikely to be optimal for any given scenario. rather, each system requires the llm to be honed to its set of heuristics to ensure the best performance. in this paper, we introduce the copilot evaluation harness: a set of data and tools for evaluating llm-guided ide interactions, covering various programming scenarios and languages. we propose our metrics as a more robust and information-dense evaluation than previous state of the art evaluation systems. we design and compute both static and execution based success metrics for scenarios encompassing a wide range of developer tasks, including code generation from natural language (generate), documentation generation from code (doc), test case generation (test), bug-fixing (fix), and workspace understanding and query resolution (workspace). these success metrics are designed to evaluate the performance of llms within a given ide and its respective parameter space. our learnings from evaluating three common llms using these metrics can inform the development and validation of future scenarios in llm guided ides.",2024-02-22
"20","test-driven development for code generation","noble saji mathews, meiyappan nagappan","software engineering","large language models (llms) like gpt4, have shown proficiency in generating code snippets from problem statements. traditionally software development by humans followed a similar methodology of writing code from problem statements or requirements. however, in the past, there have been several studies that have shown the value of test-driven development (tdd) where humans write tests based on problem statements before the code for the functionality is written. in the context of llm-based code generation, one obvious benefit of tdd is that the developer then knows for sure if the generated code has passed all the given tests or not. therefore, in this paper, we want to empirically evaluate the hypothesis: giving the problem statements and tests as input to gpt4 is better than just giving the problem statement as input. to test our hypothesis, we build a framework tgen. in our experiments on the mbpp, humaneval and codechef datasets, we consistently find that including tests solves more programming problems than not including them. thus we show that tdd is a better development model than just using a problem statement when using gpt4 for code generation tasks.",2024-02-21
"21","a strategic model of software dependency networks","cornelius fritz, co-pierre georg, angelo mele, michael schweinberger","econometrics","modern software development involves collaborative efforts and reuse of existing code, which reduces the cost of developing new software. however, reusing code from existing packages exposes coders to vulnerabilities in these dependencies. we study the formation of dependency networks among software packages and libraries, guided by a structural model of network formation with observable and unobservable heterogeneity. we estimate costs, benefits, and link externalities of the network of 696,790 directed dependencies between 35,473 repositories of the rust programming language using a novel scalable algorithm. we find evidence of a positive externality exerted on other coders when coders create dependencies. furthermore, we show that coders are likely to link to more popular packages of the same software type but less popular packages of other types. we adopt models for the spread of infectious diseases to measure a package's systemicness as the number of downstream packages a vulnerability would affect. systemicness is highly skewed with the most systemic repository affecting almost 90% of all repositories only two steps away. lastly, we show that protecting only the ten most important repositories reduces vulnerability contagion by nearly 40%.",2024-02-20
"22","a disruptive research playbook for studying disruptive innovations","margaret-anne storey, daniel russo, nicole novielli, takashi kobayashi, dong wang","software engineering","as researchers, we are now witnessing a fundamental change in our technologically-enabled world due to the advent and diffusion of highly disruptive technologies such as generative ai, augmented reality (ar) and virtual reality (vr). in particular, software engineering has been profoundly affected by the transformative power of disruptive innovations for decades, with a significant impact of technical advancements on social dynamics due to its the socio-technical nature. in this paper, we reflect on the importance of formulating and addressing research in software engineering through a socio-technical lens, thus ensuring a holistic understanding of the complex phenomena in this field. we propose a research playbook with the goal of providing a guide to formulate compelling and socially relevant research questions and to identify the appropriate research strategies for empirical investigations, with an eye on the long-term implications of technologies or their use. we showcase how to apply the research playbook. firstly, we show how it can be used retrospectively to reflect on a prior disruptive technology, stack overflow, and its impact on software development. secondly, we show it can be used to question the impact of two current disruptive technologies: ai and ar/vr. finally, we introduce a specialized gpt model to support the researcher in framing future investigations. we conclude by discussing the broader implications of adopting the playbook for both researchers and practitioners in software engineering and beyond.",2024-02-20
"23","choosing a suitable requirement prioritization method: a survey","esraa alhenawi, shatha awawdeh, ruba abu khurma, maribel garcía-arenas, pedro a. castillo, amjad hudaib","software engineering","software requirements prioritization plays a crucial role in software development. it can be viewed as the process of ordering requirements by determining which requirements must be done first and which can be done later. powerful requirements prioritization techniques are of paramount importance to finish the implementation on time and within budget. many factors affect requirement prioritization such as stakeholder expectations, complexity, dependency, scalability, risk, and cost. therefore, finding the proper order of requirements is a challenging process. hence, different types of requirements prioritization techniques have been developed to support this task. in this survey, we propose a novel classification that can classify the prioritization techniques under two major classes: relative and exact prioritization techniques class, where each class is divided into two subclasses. we depend in our classification on the way the value of ranking is given to the requirement, either explicitly as a specific value in the case of the exact prioritization techniques class, or implicitly in the case of the relative prioritization technique class. an overview of fifteen different requirements prioritization techniques are presented and organized according to the proposed classification criteria's. moreover, we make a comparison between methods that are related to the same subclass to analyze their strengths and weaknesses. based on the comparison results, the properties for each proposed subclass of techniques are identified. depending on these properties, we present some recommendations to help project managers in the process of selecting the most suitable technique to prioritize requirements based on their project characteristics (number of requirements, time, cost, and accuracy).",2024-02-20
"24","systematic mapping protocol -- ux design role in software development process","emilio ormeño, fernando pinciroli","software engineering","a systematic mapping protocol is a method for conducting a literature review in a rigorous and transparent way. it aims to provide an overview of the current state of research on a specific topic, identify gaps and opportunities, and guide future work. in this document, we present a systematic mapping protocol for investigating the role of the ux designer in the software development process. we define the research questions, scope, sources, search strategy, selection criteria, data extraction, and analysis methods that we will use to conduct the mapping study. our goal is to understand how the ux designers collaborate with other stakeholders, what methods and tools they use, what challenges they face, and what outcomes they achieve in different contexts and domains.",2024-02-20
"25","inferring non-failure conditions for declarative programs","michael hanus","programming languages","unintended failures during a computation are painful but frequent during software development. failures due to external reasons (e.g., missing files, no permissions) can be caught by exception handlers. programming failures, such as calling a partially defined operation with unintended arguments, are often not caught due to the assumption that the software is correct. this paper presents an approach to verify such assumptions. for this purpose, non-failure conditions for operations are inferred and then checked in all uses of partially defined operations. in the positive case, the absence of such failures is ensured. in the negative case, the programmer could adapt the program to handle possibly failing situations and check the program again. our method is fully automatic and can be applied to larger declarative programs. the results of an implementation for functional logic curry programs are presented.",2024-02-20
