"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","supi","svenja","also ich find die finger gut schreibt malt alles top halt n bleistift",2023-06-30,4,"verified purchase"
"2","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","trs bien","marguerite et colibri","avoir plusieurs crayons papier de diffrents grains est vraiment utile selon lutilisation quon recherche ces crayons sont trs bien",2022-11-04,5,"verified purchase"
"3","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","caja de lapices completa","lorena","una caja de lpices stadler",2022-10-24,5,"verified purchase"
"4","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","good value pencils for when you want a harder lead","limner","this mixed pack of the reliable  staedtler noris pencils are good value you get a bbhbh and h in a blister pack i use these pencils for tracing and transferring designs where you need a solid hard lead i feel staedtlers grades are harder than other brands so look elsewhere for my soft sketching pencils saving these for where i need a clean line they sharpen and erase well dont break easily and keep their point well these are a good set for technical drawing and the occasions when you need a harder lead",2021-01-21,5,"verified purchase"
"5","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","quality","doris","as described perfect for crosswords nice and clear easy to sharpen and  soft enough to rub out quality",2023-12-27,5,"verified purchase"
"6","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","buena relacin calidadprecio","leo","es lo que yo quera un conjunto completo y de calidad por un buen precio",2023-12-13,5,"verified purchase"
"7","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","una vez que te acostumbras a los lapiceros de esta marca no cambias","leo","slo con el peso que tienen se nota que tienen una calidad estupenda son los lapiceros de todo la vida la dureza de la mina permite hacer los deberes sin problema",2023-11-05,5,"verified purchase"
"8","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","perfecto","chus","pack con lpices de todos los grafitos necesarios para plstica de  de la eso",2022-09-27,5,"verified purchase"
"9","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","perfekt","cliente amazon","perfekt",2023-06-10,5,"verified purchase"
"10","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","excellent pencils as always","rachid","sharpens well writes brilliantly recieved proper cedar pencils as opposed to the new upcycled wood version perfect item",2024-02-04,5,"verified purchase"
"11","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","nice and soft","homeschool mom","perfect for young kids to write without needing to put too much pressure on the paper",2023-09-17,4,"verified purchase"
"12","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","calidad precio","jennifer","vienen muchos y su calidad inmejorable",2023-03-02,5,"verified purchase"
"13","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","super","abello michelle","rien  redire",2023-03-13,5,"verified purchase"
"14","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","good","amazon customer","good quality",2020-12-09,5,"verified purchase"
