"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Supi","Svenja","Also ich find die Finger gut. Schreibt, malt.. alles top. Halt n Bleistift","Reviewed in Germany on 30 June 2023","4.7 out of 5 stars","Verified Purchase"
"2","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Très bien","Marguerite et Colibri","Avoir plusieurs crayons papier de différents grains est vraiment utile selon l'utilisation qu'on recherche. Ces crayons sont très bien.","Reviewed in France on 4 November 2022","5.0 out of 5 stars","Verified Purchase"
"3","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Caja de lapices completa","lorena","Una caja de lápices stadler","Reviewed in Spain on 24 October 2022","5.0 out of 5 stars","Verified Purchase"
"4","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Good value pencils for when you want a harder lead.","limner","This mixed pack of the reliable  Staedtler Noris pencils are good value. You get a 2B,B,HB,H and 2H in a blister pack. I use these pencils for tracing and transferring designs where you need a solid, hard lead. I feel Staedtler's grades are harder than other brands so look elsewhere for my soft sketching pencils, saving these for where I need a clean line. They sharpen and erase well, don't break easily and keep their point well. These are a good set for technical drawing and the occasions when you need a harder lead.","Reviewed in the United Kingdom on 21 January 2021","5.0 out of 5 stars","Verified Purchase"
"5","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Quality","doris","As described; perfect for crosswords, nice and clear, easy to sharpen and  soft enough to rub out. Quality!","Reviewed in the United Kingdom on 27 December 2023","5.0 out of 5 stars","Verified Purchase"
"6","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Buena relación calidad-precio","LEO","Es lo que yo quería. Un conjunto completo y de calidad por un buen precio.","Reviewed in Spain on 13 December 2023","5.0 out of 5 stars","Verified Purchase"
"7","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Una vez que te acostumbras a los lapiceros de esta marca no cambias","LEO","Sólo con el peso que tienen, se nota que tienen una calidad estupenda, son los lapiceros de todo la vida, la dureza de la mina permite hacer los deberes sin problema.","Reviewed in Spain on 5 November 2023","5.0 out of 5 stars","Verified Purchase"
"8","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Perfecto","chus","Pack con lápices de todos los grafitos necesarios para Plástica de 3º de la ESO.","Reviewed in Spain on 27 September 2022","5.0 out of 5 stars","Verified Purchase"
"9","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Perfekt","Cliente Amazon","Perfekt","Reviewed in Sweden on 10 June 2023","5.0 out of 5 stars","Verified Purchase"
"10","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Excellent pencils, as always.","Rachid","Sharpens well, writes brilliantly. Recieved proper cedar pencils, as opposed to the new ""upcycled wood"" version. Perfect item.","Reviewed in the United Kingdom on 4 February 2024","5.0 out of 5 stars","Verified Purchase"
